egotistic	valid
displace	possible
uncertain	set
pregnant	inconsiderable
peer	differ
unwell	mighty
finish	start
powerful	unconscionable
dirty	near
burdensome	easy
skilful	awful
upright	right
reckless	dependable
right	iniquity
easily	longer
cruel	unspoiled
mankind	woman
nah	flush
thusly	sure
good	spot
badly	table
apply	name
impossible	hopeless
expert	crazy
easy	bully
good	furthermore
badly	harmless
peerless	klein
severe	lojack
ago	ulterior
avowedly	fine
enceinte	small
minute	widen
liquid	hard
allow	stool
helpless	capture
inconsiderable	widely
objectionable	correct
harsh	easy
correct	rough
useful	inefficient
disability	portray
compensate	handsome
gloomy	light
more	straightaway
laughable	acceptable
cold	unspoiled
erroneous	slump
wield	no
decide	unclear
